case,phi1_deg,delta_ln_density,response_phi2_deg,response_distance_kpc,response_pm1_masyr,response_pm2_masyr,response_phi2_width_deg,response_distance_width_kpc,response_pm1_width_masyr,response_pm2_width_masyr,sigma_phi2_deg,sigma_distance_kpc,sigma_pm1_masyr,sigma_pm2_masyr,z_phi2,z_distance,z_pm1,z_pm2,n_control,n_perturbed,n_control_phi2,n_perturbed_phi2
G2,-35.0,-0.35712539973648433,0.029004672263140574,0.014967400345755166,0.03673150398160274,0.011457579046739497,-0.020322654282419556,0.003059251277834421,0.006285721024079441,0.003133985952778383,0.005021625268112198,0.0010228950974502686,0.002231095466891212,0.0007432239162894362,5.7759531455529,14.632390342923562,16.463438936920113,15.416052680249773,6027,4217,6027,4217
G2,-33.0,0.01936715769126837,0.05940061669704266,0.020411835400865108,0.046126446320204906,0.01011487665877775,-0.02698581005565251,-0.006794612481233947,-0.01254958679989833,-0.0034186721073278664,0.005546519904067395,0.0013504854755110093,0.0029826695859554186,0.0008466394263067394,10.709529168638298,15.114442747443462,15.464819347540814,11.947089096596248,4909,5005,4909,5005
G2,-31.0,0.3655959483431812,0.1367216102285969,0.03709410972935423,0.05462200231030678,0.023726511884721635,-0.043502933946309524,-0.018301504054195603,-0.05633501596590289,-0.002401769899152764,0.004048753188751785,0.0009690914422089362,0.002153493665048754,0.0006539632596339368,33.76881816566044,38.277202866225224,25.364366376750016,36.28110835768177,9441,13608,9441,13608
G2,-29.0,-0.04754210923802257,-0.005481941406618784,-0.0004889292329748329,0.0034235903411588,-0.00013684730814578216,0.00551237486502934,-0.0014101138886668946,-0.0026697769405444882,-0.0011889292534887907,0.0042734205643925475,0.0011457801172165833,0.0023582028312323306,0.0007950209373061197,-1.282799416536721,-0.4267216943531689,1.4517794210982808,-0.17213044553201454,9649,9201,9649,9201
G2,-27.0,0.056476968520530926,-0.0398457623976885,-0.013732010193332478,-0.021773536971560148,-0.007142770569341206,0.00726817650151218,0.0009804831555197263,-0.003679883052533736,-0.000903289619677651,0.005454071484832792,0.0013043373364372323,0.0024905944012598297,0.0007699829428787369,-7.305691263580875,-10.52795914808446,-8.742305435419887,-9.276530909420556,5301,5609,5301,5609
G2,-25.0,0.15104150335188343,-0.044177069152987636,-0.016936366840957007,-0.031367996499259476,-0.007746602017661974,0.002946543304763821,0.006270332465235361,0.01339589497711853,0.003592594051382198,0.0045162534814546865,0.0009231678711294765,0.0018114318924596212,0.0005891413423611997,-9.781795759337713,-18.345923174552986,-17.316685562307832,-13.148970307557487,7501,8724,7501,8724
G2,-23.0,-0.07592889660201814,-0.005581916870566944,-0.007411087707282604,-0.015025814619272992,-0.0029127731859759365,0.004083928055639563,0.003103228505464607,0.005933689528169431,0.0008809736989235373,0.0030391845157792274,0.0009487104571046082,0.0019240681514200554,0.0006263723340951793,-1.8366495491096488,-7.8117487287962195,-7.809398335595969,-4.650226434702864,11078,10268,11078,10268
G2,-21.0,0.008079928095559264,-0.018995664903959958,-0.004216056398904655,0.0013758059375863496,0.0008809880386766444,0.01201130953353502,0.0021404566874498807,-0.001256388089378696,0.0001995239253224576,0.004829119852044769,0.0014043154542311032,0.0022699573847003132,0.0007942652830852345,-3.933566671764571,-3.002214627918517,0.606093289177756,1.1091861339507942,6533,6586,6533,6586
G2,-19.0,0.10674807756804139,-0.01542865003045257,-0.01070780002466698,-0.01495488793952049,-0.0008804396647494883,0.014829966760064706,0.0026124776967269697,0.0028428314977518854,0.0006714697063161246,0.004692819854462585,0.001306250990554861,0.002436402748151711,0.0005863558259873493,-3.287714105577879,-8.197352654346,-6.138101736613733,-1.5015450102622225,7634,8494,7634,8494
G2,-17.0,0.026368122616528124,-0.03251325190285462,-0.016207124774290094,-0.022682325476145238,-0.0034801464805611637,0.0015404928294876774,0.0004614354786899588,-0.00021590605149328368,-0.0004294797142282737,0.0045897793255527085,0.0010980919697543353,0.002173865900398104,0.00048574521341679573,-7.083837717827386,-14.759350965762865,-10.434095990921696,-7.16455125945834,8945,9184,8945,9184
G2,-15.0,0.0017165421620581912,-0.03825609030615032,-0.018027491243183036,-0.022818469317090972,-0.00578862888079934,-0.003228218351885831,0.0008468473583730513,0.0014228074235000665,-2.9452719339961853e-05,0.004084289947433149,0.0012671768580350205,0.0024143894751818356,0.0006073379811314098,-9.366644092002602,-14.22649974143137,-9.451030809920358,-9.53114914699671,8731,8746,8731,8746
G2,-13.0,-0.009005867243558443,-0.036345883504772525,-0.01813389092215978,-0.024885982062910372,-0.00552914751524991,-0.0009021867456557586,0.0012478663156974962,0.00024037732688968194,0.0005387550101720803,0.003668279402107196,0.001275462917817715,0.0026090902826068074,0.0005966302176600744,-9.908155710247724,-14.2174975601693,-9.53818356873652,-9.267293797043482,8477,8401,8477,8401
G2,-11.0,-0.037249515371380555,-0.03963346097123355,-0.020020470689027903,-0.025120176102214842,-0.005896932205757377,0.00020276422087753265,-0.0003480222336321309,-0.002614220395933717,-0.0004780397343944129,0.004024468122176894,0.0013726643156388434,0.0028542041894036485,0.000635227631004301,-9.848123967694699,-14.585117760353738,-8.801113878073103,-9.283179631897104,7521,7246,7521,7246
G2,-9.0,-0.08024859911065065,-0.05054330147864461,-0.02203375221031756,-0.02566344164327994,-0.00738638869728625,0.000459616706525251,-0.0018628895800722883,-0.003932754708085198,-0.0006068885279206029,0.004999854327212622,0.0016356180992636862,0.0030308366646777988,0.000726645393155272,-10.108954815654016,-13.471208358623933,-8.467444630840296,-10.165052674747919,5667,5230,5667,5230
G2,-7.0,-0.07263733796259422,-0.049052481769091605,-0.02532463292065046,-0.0270159801061034,-0.00811568213297642,0.0035948133937391546,0.0006580276609258195,-0.0012432324390932031,-0.0003149344067409979,0.006318840368794363,0.002143603830730095,0.004200619598329898,0.0009117384708883715,-7.762893016151765,-11.814045374244868,-6.431427429621225,-8.901326852061793,3711,3451,3711,3451
G2,-5.0,-0.059039065388822067,-0.04618243343882655,-0.026885981043619722,-0.028522856477852798,-0.008366543308438779,-4.7474051182272436e-05,0.004435860486336374,0.009587923733285694,-5.564326622951518e-05,0.006567011836458074,0.0023828997283019434,0.004478167903529777,0.0011080328994093312,-7.032488228882972,-11.282883926793973,-6.369313766768446,-7.55080766365223,2442,2302,2442,2302
G2,-3.0,-0.09235159776457966,-0.049117471396944,-0.023861179934097976,-0.02394310697953017,-0.007780537068756921,-0.004399279359738967,0.0015840327084640782,-0.0012503362666255735,-0.00029963986062841313,0.009238361351406791,0.003621504201076511,0.005538012312333342,0.0011758242770394912,-5.316686534399797,-6.588748378920868,-4.323411655515474,-6.6170917038274455,1485,1354,1485,1354
