case,phi1_center_deg,phi1_lo_deg,phi1_hi_deg,n_total,phi2_deg_median,phi2_deg_width,phi2_deg_nvalid,distance_kpc_median,distance_kpc_width,distance_kpc_nvalid,pm1_masyr_median,pm1_masyr_width,pm1_masyr_nvalid,pm2_masyr_median,pm2_masyr_width,pm2_masyr_nvalid,rv_kms_median,rv_kms_width,rv_kms_nvalid
G1,-31.0,-32.0,-30.0,13025,-0.060746647650972624,0.2194059683610641,13025,7.5337717506586,0.05220001009438616,13025,-12.948044828572412,0.09017961018434291,13025,-3.068687691283538,0.04113652697993158,13025,-81.23984354828771,2.650764987068398,13025
G1,-29.0,-30.0,-28.0,9215,0.3625565327015177,0.24499431155450013,9215,7.747373688773048,0.06327319213022164,9215,-12.54609911403369,0.12931442170864668,9215,-2.9165508644883493,0.03933283200230922,9215,-91.6652840757813,4.501191797847861,9215
G1,-27.0,-28.0,-26.0,5554,0.41381636025400637,0.24096630217735168,5554,7.88555482228811,0.057945844985618104,5554,-12.239958917751213,0.1074544193392353,5554,-2.830352810483854,0.03283517609797604,5554,-105.38168438838238,4.997749441161479,5554
G1,-25.0,-26.0,-24.0,8685,0.2752675124034652,0.21814807512201742,8685,7.960188863724879,0.049372672683445126,8685,-12.053530114163285,0.0943911657582511,8685,-2.7723324749861327,0.02992112064373057,8685,-119.32717087776297,4.085554059183199,8685
G1,-23.0,-24.0,-22.0,10675,0.21064851435924717,0.18342744869918687,10675,8.05840578015291,0.05593584722109759,10675,-11.836499443927337,0.1122077883791916,10675,-2.706964474156328,0.03337873648428982,10675,-129.7430323877518,4.225278815655758,10675
G1,-21.0,-22.0,-20.0,6690,0.15064678736905507,0.23167625874950407,6690,8.187276172305424,0.059343579083751506,6690,-11.543718639168102,0.11023970381181422,6690,-2.633194119569806,0.03369025161408907,6690,-142.65863502527634,4.80198431041472,6690
G1,-19.0,-20.0,-18.0,8133,0.00022518024050936084,0.2543132336519845,8133,8.29782780518326,0.059067672143595755,8133,-11.288267005714593,0.1111531389490098,8133,-2.571331974641702,0.03165498728261053,8133,-154.82686613524942,4.194636584246275,8133
G1,-17.0,-18.0,-16.0,9016,-0.13396220578535045,0.22748693127661926,9016,8.425500757015516,0.059800267728075826,9016,-11.015211702335272,0.11414147142792923,9016,-2.5064300209691157,0.029651099942909168,9016,-166.05596016205024,4.324060291723054,9016
G1,-15.0,-16.0,-14.0,8709,-0.2671569721875961,0.21146276489277072,8709,8.562583539308823,0.06661767827192927,8709,-10.723520414081227,0.12120695871654459,8709,-2.4425361684765963,0.030267478268332003,8709,-177.41021017210292,4.360104011787081,8709
G1,-13.0,-14.0,-12.0,8368,-0.3895617189580207,0.1968398996907859,8368,8.709074807002356,0.06970031225091831,8368,-10.423683923020793,0.12499290946951078,8368,-2.3781291736496404,0.03185310078268742,8368,-188.61040497901985,4.023712748799492,8368
G1,-11.0,-12.0,-10.0,7285,-0.5153459642056502,0.19147989584066033,7285,8.872073527680023,0.06838331123402452,7285,-10.108469032433952,0.12024846917970833,7285,-2.311833091868504,0.029935630147717125,7285,-199.34446880988747,3.960005650342928,7285
G1,-9.0,-10.0,-8.0,5276,-0.6771814385461337,0.20513617808658918,5276,9.033700456483501,0.07061044442294494,5276,-9.800138674647712,0.11740893107246378,5276,-2.252787841971821,0.02970528155710493,5276,-209.75269602465823,3.7887826083210747,5276
G1,-7.0,-8.0,-6.0,3476,-0.8667511639303926,0.2169265366513939,3476,9.202661528444025,0.07557640972964556,3476,-9.484897040289761,0.12190455794700045,3476,-2.1964503290290054,0.02809465059516492,3476,-220.30047675665196,3.6506451455760542,3476
G1,-5.0,-6.0,-4.0,2313,-1.060858554105531,0.21248288051644146,2313,9.377393876214976,0.0746238464777698,2313,-9.176772260299106,0.11761038967780738,2313,-2.1406644622969537,0.026169469229694008,2313,-230.063580506188,3.4522961292161845,2313
G1,-3.0,-4.0,-2.0,1387,-1.2785685499006127,0.20350255332750286,1387,9.571567427671814,0.08084606918214397,1387,-8.851148620689308,0.12366667821079803,1387,-2.083915062872527,0.02520044774192669,1387,-239.80737740043014,3.288577973061546,1387
G1,-1.0,-2.0,0.0,751,-1.500776023651373,0.17169759688010244,751,9.77439700557028,0.08120346978264845,751,-8.52657746321582,0.12013595366971587,751,-2.030304647716506,0.021596497396988962,751,-249.32194375683636,3.1552356117430764,751
G2,-59.0,-60.0,-58.0,2998,-0.6409638501916397,0.2478925612977185,2998,6.9777019983738295,0.04281057139915632,2998,-13.616246905943495,0.1070720433442352,2998,-3.7660235743417756,0.029386945424469495,2998,104.25063803113063,4.765895948481561,2998
G2,-57.0,-58.0,-56.0,4047,-0.5795855604523662,0.255620497883275,4047,6.964225012878526,0.04564066310381875,4047,-13.75225365799434,0.11651076239946324,4047,-3.7451946172227846,0.029529928162310863,4047,91.42019524905314,4.69274049298968,4047
G2,-55.0,-56.0,-54.0,4937,-0.5195997567271579,0.2449724796093177,4937,6.961277807196896,0.04422825330176679,4937,-13.855979248344216,0.1105874313575898,4937,-3.7186795911871178,0.027671698222825572,4937,78.49814831207696,4.918256334877045,4937
G2,-53.0,-54.0,-52.0,5598,-0.45224705213088423,0.24394586207670138,5598,6.968249883950502,0.03876864199549138,5598,-13.925336932657668,0.09362084392459585,5598,-3.686918868894705,0.02758171431483744,5598,65.24385119235734,4.828590316889181,5598
G2,-51.0,-52.0,-50.0,5976,-0.3838736638822349,0.24187204975287885,5976,6.986611297100877,0.03829583290430602,5976,-13.956602919110928,0.09117567501191373,5976,-3.6494177183869345,0.026671402045886753,5976,52.32534872235621,4.827042306829496,5976
G2,-49.0,-50.0,-48.0,6284,-0.31985610950858,0.24372038780268074,6284,7.006407788297615,0.041466219245517744,6284,-13.971994015559709,0.10015555666576942,6284,-3.610502259829569,0.027834427061173946,6284,38.721301496679715,4.893783322549802,6284
G2,-47.0,-48.0,-46.0,6863,-0.3053803079013054,0.2616007895059016,6863,7.0255448632813335,0.043076964281522585,6863,-13.980091996130868,0.10488099568740551,6863,-3.567439567408431,0.02730420439363323,6863,25.52631969002792,5.038968847715252,6863
G2,-45.0,-46.0,-44.0,6881,-0.28701456423104366,0.27269085202835813,6881,7.05429986008627,0.03757192759451119,6881,-13.957381239124663,0.08569944041473919,6881,-3.520714001818913,0.026066401434455894,6881,12.224528975941187,4.9024509019075495,6881
G2,-43.0,-44.0,-42.0,6074,-0.28533064589731694,0.28070192604667704,6074,7.093098997674744,0.04053665483993508,6074,-13.901042357602073,0.09064789347207364,6074,-3.469202792889557,0.026265084517234364,6074,-0.6442781595204041,4.750183032063346,6074
G2,-41.0,-42.0,-40.0,4676,-0.3187983774643123,0.2736532021430535,4676,7.1216378734046835,0.04687736236691781,4676,-13.859206388851067,0.106331207354261,4676,-3.4237157547084296,0.028673658363543734,4676,-14.14514100318236,5.298348638980351,4676
G2,-39.0,-40.0,-38.0,6379,-0.28042104574209614,0.21066124465752994,6379,7.185539288889273,0.038926255420058994,6379,-13.721955128167219,0.09135093684369021,6379,-3.3648739009396897,0.031049172123718837,6379,-28.562686447200495,4.733234059235975,6379
G2,-37.0,-38.0,-36.0,5813,-0.21181497986773193,0.1914479964041579,5813,7.25062889634869,0.038977904309251334,5813,-13.582166132367831,0.08516835036610274,5813,-3.301294264028902,0.0307137118350835,5813,-39.48823308575574,4.293178094349053,5813
G2,-35.0,-36.0,-34.0,4217,-0.21896154099078316,0.20155916498972865,4217,7.329273995822555,0.043475138630713395,4217,-13.405339293930222,0.0921668887221287,4217,-3.22539157012074,0.02890066646730646,4217,-54.43990862880299,4.696548019812688,4217
G2,-33.0,-34.0,-32.0,5005,-0.24893723258633604,0.208491964302008,5005,7.386080740012731,0.04497606885019879,5005,-13.268226791110287,0.09802931814315585,5005,-3.1724016509581574,0.0320966028204955,5005,-67.30555858314386,5.024280673682612,5005
