case,phi1_deg,response_phi2_deg,valid_phi2_deg,response_distance_kpc,valid_distance_kpc,response_pm1_masyr,valid_pm1_masyr,response_pm2_masyr,valid_pm2_masyr
G2,5.0,-0.027646425545610143,False,-0.007629000858148771,False,-0.006878438286058497,False,0.0017294941194245794,False
G2,7.0,nan,False,nan,False,nan,False,nan,False
G2,9.0,-0.03425668782421054,False,-0.006899871722856332,False,-0.00501582727917782,False,0.0010666736212876504,False
G2,11.0,nan,False,nan,False,nan,False,nan,False
G3,-89.0,nan,False,nan,False,nan,False,nan,False
G3,-87.0,nan,False,nan,False,nan,False,nan,False
G3,-85.0,nan,False,nan,False,nan,False,nan,False
G3,-83.0,0.044818789302019546,False,-0.0028093107727533706,False,0.015757285795283238,False,-0.0008812008573793051,False
G3,-81.0,nan,False,nan,False,nan,False,nan,False
G3,-79.0,nan,False,nan,False,nan,False,nan,False
G3,-77.0,0.047109641547040004,False,-0.01204542385108276,False,-0.03167240346954969,False,-0.010239648815335567,False
G3,-75.0,0.04867505277997286,False,-0.009086081786078282,False,0.010751215244869883,False,-0.0012062000072186052,False
G3,-73.0,0.03427823562642418,False,-0.008472791045250005,False,-0.013925388387193038,False,-0.0008464872925459943,False
G3,-71.0,0.058482914907724615,False,-0.010678393187874669,False,-0.022253803096282,False,-0.004019934029755756,False
G3,-69.0,0.03843831688206367,False,-0.012158048683281741,False,-0.02307322998552408,False,-0.00015379429627282448,False
G3,-67.0,0.0307909132403128,False,-0.011768311319632296,False,-0.0325402010675635,False,0.00035979532308827444,False
G3,-65.0,0.049543683286187634,False,-0.012083131872862474,False,-0.029986368878505587,False,-0.0008256446838510456,False
G3,-63.0,0.030321439312354204,False,-0.012243192937645198,False,-0.02734732830610831,False,-0.0001517172308767023,False
G3,-61.0,0.031614711743838786,False,-0.012078168671552092,False,-0.027100425884132306,False,0.0003567567474762612,False
G3,-59.0,0.027425022345074823,True,-0.012529339843680098,True,-0.030255966312202176,True,-0.0004232898365046367,True
G3,-57.0,0.023856174207289804,True,-0.013569233389082669,True,-0.0322435907848444,True,0.0006406363193987019,True
G3,-55.0,0.02260580070360968,True,-0.013394065833171709,True,-0.03164145537722263,True,0.0006694173224106592,True
G3,-53.0,0.021351176182167475,True,-0.012439773700827494,True,-0.028623117360279338,True,0.0009998032845892624,True
G3,-51.0,0.015518059941732498,True,-0.012635256613171109,True,-0.028069821672234596,True,0.000968023417330155,True
G3,-49.0,0.012007717665104,True,-0.01372672980131373,True,-0.03034948144031624,True,0.00034449668961533675,True
G3,-47.0,-0.005719844016719294,True,-0.016217720099486854,True,-0.036781199674654985,True,0.0002296893656148491,True
G3,-45.0,-0.009978757807562244,True,-0.015279108442912914,True,-0.03441851696106468,True,-0.0003317573276957475,True
G3,-43.0,-0.016808693798657903,True,-0.016600660047173754,True,-0.0371790524451967,True,-0.0012446949454791856,True
G3,-41.0,-0.035172230297751045,True,-0.02196106426454847,True,-0.04866543377795374,True,-0.004790408449615313,True
G3,-39.0,-0.028132896395612728,True,-0.010514566059097064,True,-0.02145518127828261,True,-0.005566424467726705,True
G3,-37.0,-0.019671208429933557,True,-0.008447725727851463,True,-0.019016848468673686,True,-0.0031745299337462285,True
G3,-35.0,-0.021498398107788447,True,-0.0008429758693608846,True,0.0006712302708979934,True,0.0025757618750255062,True
G3,-33.0,-0.0018824894712174967,True,0.005065179361857908,True,0.012892992103431311,True,0.0021468445850305606,True
G3,-31.0,0.05619277577223519,True,0.02095812782635953,True,0.04732008327439452,True,0.01658887114665175,True
G3,-29.0,-0.004213970400673561,True,0.0007390936578115515,True,0.0037428172411413385,True,0.0005635819857818802,True
G3,-27.0,-0.027885019571265268,True,-0.007091303203997867,True,-0.009911799222910744,True,-0.003819682977075356,True
G3,-25.0,-0.03567549442175605,True,-0.011158632349854258,True,-0.02110262225889592,True,-0.005452008006832987,True
G3,-23.0,-0.0007586870318753158,True,-0.0010433786367141096,True,-0.0035784362503541445,True,-0.0005988979728592803,True
G3,-21.0,0.033273621623735594,True,0.010016023358042858,True,0.013990211047852696,True,0.006727004811495796,True
G3,-19.0,0.038041937096502734,True,0.013988425181320707,True,0.02176463134233586,True,0.014612831232352796,True
G3,-17.0,0.033208676774388324,True,0.00904699268698117,True,0.012156179576500392,True,0.013896412956035942,True
G3,-15.0,0.016671996741263295,True,0.0030640541200028792,True,0.002355717228143206,True,0.010259933633800511,True
